,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7133064516129032,0.5878808176901424,0.6464646464646465,5.0156719009572264e-05
split-0,1,62,0.7133064516129032,0.8197470042971154,0.6666666666666666,5.015664995512962e-05
split-1,0,40,0.7677419354838709,0.6369217149007803,0.6875,1.115736516637984e-06
split-1,1,62,0.7677419354838709,0.8599366663609176,0.7222222222222222,1.11573837834553e-06
split-2,0,40,0.6548387096774194,0.47424859938276964,0.6226415094339622,0.012638223050107622
split-2,1,62,0.6548387096774194,0.7605508855197158,0.5918367346938775,0.012638202827004808
split-3,0,40,0.655241935483871,0.48504492652427766,0.5825242718446602,0.00126659091293608
split-3,1,62,0.6552419354838709,0.810734071836855,0.5742574257425742,0.001266593529695134
split-4,0,40,0.7258196721311475,0.564359264511686,0.6373626373626373,3.185145121307254e-05
split-4,1,61,0.7258196721311475,0.837090986197615,0.7027027027027027,3.185144913738163e-05
