,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7491935483870967,0.6247804927775311,0.6464646464646465,7.151264349006676e-06
split-0,1,62,0.7491935483870967,0.8389511147996359,0.6666666666666666,7.1512627730361175e-06
split-1,0,40,0.7536290322580645,0.5687468590224236,0.6875,3.764953395532045e-06
split-1,1,62,0.7536290322580647,0.8579453513006843,0.7222222222222222,3.7649297550041854e-06
split-2,0,40,0.7483870967741936,0.6065044880527808,0.6464646464646465,5.8787419136349774e-06
split-2,1,62,0.7483870967741936,0.8453244485938521,0.6666666666666666,5.878743126725931e-06
split-3,0,40,0.6745967741935484,0.5104357837833302,0.6105263157894737,0.0005891327856792572
split-3,1,62,0.6745967741935485,0.818301432941974,0.6605504587155964,0.0005891331656012144
split-4,0,40,0.7413934426229508,0.5700898240173616,0.6444444444444445,6.8855465408932185e-06
split-4,1,61,0.7413934426229508,0.8569084133648772,0.7142857142857143,6.88554516691828e-06
