,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7100806451612903,0.5891380544774731,0.5977011494252874,0.00010984577814351512
split-0,1,62,0.7100806451612903,0.815206232994103,0.7008547008547008,0.00010984584991729376
split-1,0,40,0.7729838709677419,0.6342294368822078,0.6804123711340206,9.566165452159266e-07
split-1,1,62,0.7729838709677419,0.8610710519359286,0.7102803738317757,9.56617397834714e-07
split-2,0,40,0.7209677419354837,0.5352653142948003,0.6304347826086957,7.393467623577185e-05
split-2,1,62,0.7209677419354837,0.827285122715584,0.6964285714285714,7.393473147958724e-05
split-3,0,40,0.6516129032258065,0.5222162184966788,0.594059405940594,0.0016278667654946444
split-3,1,62,0.6516129032258065,0.8061255195512405,0.6019417475728155,0.0016278664345035887
split-4,0,40,0.7479508196721311,0.5905521972636097,0.6086956521739131,4.561726001192038e-05
split-4,1,61,0.7479508196721311,0.831069761265399,0.6727272727272727,4.5616804507372164e-05
