,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7137096774193549,0.5884311453519533,0.6336633663366337,8.282648087442082e-05
split-0,1,62,0.7137096774193549,0.8125151072063052,0.6407766990291263,8.282639084130035e-05
split-1,0,40,0.7762096774193549,0.6534774813578053,0.7010309278350515,8.576567856069921e-07
split-1,1,62,0.7762096774193549,0.8627192405650985,0.7289719626168224,8.576543445448969e-07
split-2,0,40,0.7100806451612903,0.5268265339975668,0.631578947368421,8.960981015132851e-05
split-2,1,62,0.7100806451612903,0.8249853524420113,0.6788990825688074,8.960984622178966e-05
split-3,0,40,0.6499999999999999,0.5218494746467469,0.5168539325842697,0.002161522971556119
split-3,1,62,0.65,0.8036267204176603,0.6260869565217392,0.0021615212282210584
split-4,0,40,0.7528688524590164,0.5903232997045649,0.6153846153846154,3.800456015797945e-05
split-4,1,61,0.7528688524590165,0.8379051195316995,0.6846846846846847,3.800480184871529e-05
