,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7116935483870968,0.5934340629144379,0.6236559139784946,5.146004844513208e-05
split-0,1,62,0.7116935483870968,0.8149382494102066,0.6846846846846847,5.1460030098506334e-05
split-1,0,40,0.7705645161290323,0.6413074802886741,0.6739130434782609,1.45074297729429e-06
split-1,1,62,0.7705645161290322,0.8543161447695037,0.7321428571428571,1.4507432704336832e-06
split-2,0,40,0.7221774193548387,0.5290902488681744,0.611764705882353,3.919224018913877e-05
split-2,1,62,0.7221774193548386,0.8345798992711448,0.7226890756302521,3.919222155080209e-05
split-3,0,40,0.6870967741935484,0.5361656316097595,0.6138613861386139,0.00031599276571379805
split-3,1,62,0.6870967741935484,0.8207478077312946,0.6213592233009708,0.00031599346040635473
split-4,0,40,0.718032786885246,0.5543045826657854,0.6666666666666666,5.260661088305728e-05
split-4,1,61,0.7180327868852461,0.8292582258812369,0.7155963302752294,5.2606578058925804e-05
