,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7120967741935483,0.5783254239610557,0.5647058823529412,7.017982567671186e-05
split-0,1,62,0.7120967741935483,0.8155902319867144,0.6890756302521008,7.01799288628299e-05
split-1,0,40,0.7665322580645162,0.6232752393540064,0.6808510638297872,1.4558412608310247e-06
split-1,1,62,0.766532258064516,0.857217689754944,0.7272727272727273,1.4558422332770665e-06
split-2,0,40,0.7060483870967742,0.5238926930639689,0.5882352941176471,0.00015437294749900247
split-2,1,62,0.7060483870967743,0.8213698082198053,0.7058823529411765,0.00015437286282122354
split-3,0,40,0.6520161290322581,0.5282264478246574,0.5333333333333333,0.0020156612846665726
split-3,1,62,0.652016129032258,0.8034365945366008,0.631578947368421,0.002015663506848402
split-4,0,40,0.75,0.582623854452855,0.6444444444444445,2.0201231452250607e-05
split-4,1,61,0.7500000000000001,0.8374556749015898,0.7142857142857143,2.0201325287163618e-05
