,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7116935483870968,0.5876575156451151,0.6222222222222222,0.00012926135750260744
split-0,1,62,0.7116935483870968,0.8119163581955663,0.7017543859649122,0.00012926157588526722
split-1,0,40,0.7629032258064516,0.6059224432661201,0.6808510638297872,1.5092818744715026e-06
split-1,1,62,0.7629032258064516,0.8571746117694083,0.7272727272727273,1.5092820178036854e-06
split-2,0,40,0.714516129032258,0.5270846027876619,0.6170212765957447,8.96701861243193e-05
split-2,1,62,0.7145161290322581,0.8317776833360936,0.6727272727272727,8.96700477546131e-05
split-3,0,40,0.6495967741935484,0.5297826759394244,0.5531914893617021,0.002633828740585634
split-3,1,62,0.6495967741935483,0.8011619429858052,0.6181818181818182,0.002633833306936669
split-4,0,40,0.7516393442622951,0.5845138134146329,0.6382978723404256,2.5780533281909812e-05
split-4,1,61,0.7516393442622951,0.8379040202700918,0.6851851851851852,2.5780621296965295e-05
