,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.716532258064516,0.5887684975834159,0.6326530612244898,5.585785924211561e-05
split-0,1,62,0.7165322580645161,0.8178626028977052,0.660377358490566,5.585777215231117e-05
split-1,0,40,0.7520161290322581,0.6165275726049518,0.6947368421052632,1.3917312957644903e-06
split-1,1,62,0.752016129032258,0.8470173450088916,0.7339449541284404,1.3917296503732456e-06
split-2,0,40,0.685483870967742,0.5219095661607149,0.5918367346938775,0.0008794136570866383
split-2,1,62,0.6854838709677419,0.8014160306318809,0.6226415094339622,0.0008794146067682311
split-3,0,40,0.6459677419354839,0.5047961673365396,0.5416666666666666,0.007687400631938203
split-3,1,62,0.6459677419354838,0.7875551939121179,0.5925925925925926,0.007687367378380299
split-4,0,40,0.7172131147540984,0.5669908036370491,0.5205479452054794,9.600285355573597e-05
split-4,1,61,0.7172131147540983,0.8247414315961215,0.7286821705426356,9.600294894425353e-05
