,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.707258064516129,0.5533310472785635,0.6458333333333334,0.00011097615254201082
split-0,1,62,0.7072580645161289,0.8267815720481736,0.6851851851851852,0.00011097664772042168
split-1,0,40,0.7512096774193548,0.6112858694200072,0.6804123711340206,1.460709647466773e-06
split-1,1,62,0.7512096774193548,0.851986564362422,0.7102803738317757,1.4607084369538859e-06
split-2,0,40,0.7124999999999999,0.5232535722222026,0.6170212765957447,3.340789420843072e-05
split-2,1,62,0.7125,0.8378440482482582,0.6727272727272727,3.340791725395259e-05
split-3,0,40,0.6959677419354839,0.5150272342097753,0.6336633663366337,0.00013646138510670308
split-3,1,62,0.6959677419354838,0.8283503101666676,0.6407766990291263,0.00013646130652158429
split-4,0,40,0.725,0.5723026418119544,0.651685393258427,7.531373761890076e-05
split-4,1,61,0.725,0.819206463927148,0.7256637168141593,7.53137025697944e-05
