,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.6967741935483871,0.5811917040963942,0.5979381443298969,0.0002620758137904336
split-0,1,62,0.6967741935483872,0.8069461851039978,0.6355140186915887,0.0002620755640130299
split-1,0,40,0.7625000000000001,0.6042578723004534,0.6947368421052632,1.0896273915706714e-06
split-1,1,62,0.7625,0.8561416751949698,0.7339449541284404,1.089628580371206e-06
split-2,0,40,0.7145161290322581,0.5617066013338169,0.6170212765957447,5.527299367659727e-05
split-2,1,62,0.714516129032258,0.8264454457570904,0.6727272727272727,5.527304985709527e-05
split-3,0,40,0.6883064516129033,0.5161745710252725,0.08695652173913043,0.0015887497856832567
split-3,1,62,0.6883064516129033,0.8058426181057289,0.7341772151898734,0.0015887494502529204
split-4,0,40,0.7360655737704918,0.5845311473543452,0.6206896551724138,1.79254213394327e-05
split-4,1,61,0.7360655737704918,0.8441655969965342,0.7130434782608696,1.7925433167714268e-05
