,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7072580645161289,0.5769834117402799,0.625,7.219085084182526e-05
split-0,1,62,0.707258064516129,0.8138222692438387,0.6666666666666666,7.219082984829109e-05
split-1,0,40,0.7483870967741935,0.6050865933166307,0.6875,1.6298494758523035e-06
split-1,1,62,0.7483870967741936,0.8520227975365364,0.7222222222222222,1.629851545363344e-06
split-2,0,40,0.7137096774193548,0.5330443507055893,0.6382978723404256,5.626335482274136e-05
split-2,1,62,0.7137096774193549,0.8288164027509826,0.6909090909090909,5.6263273820350454e-05
split-3,0,40,0.6600806451612903,0.4798683580650186,0.6019417475728155,0.000928101443536363
split-3,1,62,0.6600806451612903,0.813003712452477,0.594059405940594,0.0009281023666255482
split-4,0,40,0.7200819672131148,0.555575117934189,0.6444444444444445,4.0299585376579276e-05
split-4,1,61,0.7200819672131148,0.8384630693789628,0.7142857142857143,4.0299509322780086e-05
