,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7008064516129032,0.565177630551328,0.5301204819277109,0.00014898006171109793
split-0,1,62,0.7008064516129032,0.8131612164645481,0.6776859504132231,0.00014898002532806714
split-1,0,40,0.7616935483870967,0.6007853058190286,0.6813186813186813,3.0878917025722143e-06
split-1,1,62,0.7616935483870967,0.842814912692151,0.7433628318584071,3.08788535313809e-06
split-2,0,40,0.6616935483870968,0.5292275820269424,0.4864864864864865,0.0052779676394406885
split-2,1,62,0.6616935483870967,0.7570180714028357,0.7076923076923077,0.005277968046060171
split-3,0,40,0.6858870967741935,0.5218796165583863,0.64,0.000436579558594239
split-3,1,62,0.6858870967741935,0.8135539093957618,0.43037974683544306,0.00043657773798950176
split-4,0,40,0.7217213114754099,0.5729030479700357,0.6373626373626373,4.001828151957858e-05
split-4,1,61,0.7217213114754099,0.8337006720041678,0.7027027027027027,4.00182563910138e-05
