,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7108870967741935,0.5815565716670232,0.64,7.758708230657262e-05
split-0,1,62,0.7108870967741935,0.8108843695783506,0.6538461538461539,7.758708230657138e-05
split-1,0,40,0.7608870967741935,0.6302958567225913,0.6875,8.167190417641305e-07
split-1,1,62,0.7608870967741935,0.8590444346589067,0.7222222222222222,8.167190417641305e-07
split-2,0,40,0.7129032258064516,0.5236084549960818,0.6382978723404256,6.500172282277124e-05
split-2,1,62,0.7129032258064516,0.8289270580876276,0.6909090909090909,6.500172282277194e-05
split-3,0,40,0.6612903225806452,0.5102772851884505,0.5591397849462365,0.0010798287496542654
split-3,1,62,0.6612903225806451,0.8150038093795277,0.6306306306306306,0.0010798287496542561
split-4,0,40,0.7405737704918034,0.5617974949615856,0.651685393258427,1.0884603841396272e-05
split-4,1,61,0.7405737704918033,0.8512550727725324,0.7256637168141593,1.088460384139605e-05
