,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7588709677419355,0.6490007666560315,0.6538461538461539,3.932902836231342e-06
split-0,1,62,0.7588709677419355,0.8462940310902588,0.64,3.9329020698256766e-06
split-1,0,40,0.7681451612903226,0.6161228368458099,0.7010309278350515,7.159378847717657e-07
split-1,1,62,0.7681451612903225,0.8602428152819548,0.7289719626168224,7.159380500431289e-07
split-2,0,40,0.7358870967741936,0.5748210523653768,0.6666666666666666,0.00010920248702005727
split-2,1,62,0.7358870967741936,0.801481216271812,0.7521367521367521,0.00010920237040810081
split-3,0,40,0.7149193548387097,0.544374939819464,0.5569620253164557,0.0002777447221356513
split-3,1,62,0.7149193548387096,0.8219359935522568,0.72,0.00027774529241959855
split-4,0,40,0.7577868852459015,0.629552431357238,0.6868686868686869,5.6867618869985124e-06
split-4,1,61,0.7577868852459018,0.85112521350734,0.6990291262135923,5.686763195197485e-06
