,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.6512096774193548,0.5416280658452993,0.5631067961165048,0.01069445815263479
split-0,1,62,0.6512096774193548,0.7266204519692224,0.5544554455445545,0.010694394846333357
split-1,0,40,0.7762096774193549,0.6145670226388172,0.6818181818181818,1.169871628406925e-06
split-1,1,62,0.7762096774193549,0.8534876697776235,0.7586206896551724,1.1698698358784216e-06
split-2,0,40,0.7048387096774194,0.5158032914435863,0.6382978723404256,7.96689046227964e-05
split-2,1,62,0.7048387096774194,0.830758805235039,0.6909090909090909,7.966898513327819e-05
split-3,0,40,0.707258064516129,0.5545012458039259,0.631578947368421,5.250100377356448e-05
split-3,1,62,0.707258064516129,0.8386039589302451,0.6788990825688074,5.250102259408513e-05
split-4,0,40,0.7040983606557377,0.5896822313805402,0.5673758865248227,0.002975157363230504
split-4,1,61,0.7040983606557377,0.7318584982240632,0.0,0.002975145185081421
