,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7000000000000001,0.554717334517531,0.6021505376344086,0.00016870699469739102
split-0,1,62,0.7,0.8086550416783153,0.6666666666666666,0.00016870744593690094
split-1,0,40,0.7786290322580646,0.6376707675302857,0.6739130434782609,2.2899918844375063e-07
split-1,1,62,0.7786290322580646,0.864001247614163,0.7321428571428571,2.2899928914929455e-07
split-2,0,40,0.7270161290322581,0.5426861243268237,0.6236559139784946,2.002415343682615e-05
split-2,1,62,0.7270161290322579,0.8405804591411601,0.6846846846846847,2.0024148067142064e-05
split-3,0,40,0.6516129032258065,0.47244168140380627,0.6153846153846154,0.0010049255070791177
split-3,1,62,0.6516129032258065,0.8022236100519944,0.6,0.0010049254824991843
split-4,0,40,0.7622950819672132,0.5694230580462495,0.72,3.1432411062184554e-07
split-4,1,61,0.7622950819672132,0.8715020219762415,0.7254901960784313,3.1432412783938457e-07
